,STOCK_CODE,Date,file_name
1938,601872.SH,20200324,sh601872_20200324
1939,601872.SH,20200325,sh601872_20200325
1940,601872.SH,20200326,sh601872_20200326
1941,601872.SH,20200327,sh601872_20200327
1942,601872.SH,20200330,sh601872_20200330
1943,601872.SH,20200331,sh601872_20200331
1944,601872.SH,20200401,sh601872_20200401
1945,601872.SH,20200402,sh601872_20200402
1946,601872.SH,20200403,sh601872_20200403
1947,601872.SH,20200407,sh601872_20200407
1948,601872.SH,20200408,sh601872_20200408
1949,601872.SH,20200409,sh601872_20200409
1950,601872.SH,20200410,sh601872_20200410
1951,601872.SH,20200413,sh601872_20200413
1952,601872.SH,20200414,sh601872_20200414
1953,600072.SH,20200316,sh600072_20200316
1954,600072.SH,20200317,sh600072_20200317
1955,600072.SH,20200318,sh600072_20200318
1956,600072.SH,20200319,sh600072_20200319
1957,600072.SH,20200320,sh600072_20200320
1958,600072.SH,20200323,sh600072_20200323
1959,600072.SH,20200324,sh600072_20200324
1960,600072.SH,20200325,sh600072_20200325
1961,600072.SH,20200326,sh600072_20200326
1962,600072.SH,20200327,sh600072_20200327
1963,600072.SH,20200330,sh600072_20200330
1964,600072.SH,20200331,sh600072_20200331
1965,600072.SH,20200401,sh600072_20200401
1966,600072.SH,20200402,sh600072_20200402
1967,600072.SH,20200403,sh600072_20200403
1968,600072.SH,20200407,sh600072_20200407
1969,600072.SH,20200408,sh600072_20200408
1970,600072.SH,20200409,sh600072_20200409
1971,600072.SH,20200410,sh600072_20200410
1972,600072.SH,20200413,sh600072_20200413
1973,600072.SH,20200414,sh600072_20200414
1974,600309.SH,20200316,sh600309_20200316
1975,600309.SH,20200317,sh600309_20200317
1976,600309.SH,20200318,sh600309_20200318
1977,600309.SH,20200319,sh600309_20200319
1978,600309.SH,20200320,sh600309_20200320
1979,600309.SH,20200323,sh600309_20200323
1980,600309.SH,20200324,sh600309_20200324
1981,600309.SH,20200325,sh600309_20200325
1982,600309.SH,20200326,sh600309_20200326
1983,600309.SH,20200327,sh600309_20200327
1984,600309.SH,20200330,sh600309_20200330
1985,600309.SH,20200331,sh600309_20200331
1986,600309.SH,20200401,sh600309_20200401
1987,600309.SH,20200402,sh600309_20200402
1988,600309.SH,20200403,sh600309_20200403
1989,600309.SH,20200407,sh600309_20200407
1990,600309.SH,20200408,sh600309_20200408
1991,600309.SH,20200409,sh600309_20200409
1992,600309.SH,20200410,sh600309_20200410
1993,600309.SH,20200413,sh600309_20200413
1994,600309.SH,20200414,sh600309_20200414
1995,002524.SZ,20200316,sz002524_20200316
1996,002524.SZ,20200317,sz002524_20200317
1997,002524.SZ,20200318,sz002524_20200318
1998,002524.SZ,20200319,sz002524_20200319
1999,002524.SZ,20200320,sz002524_20200320
2000,002524.SZ,20200323,sz002524_20200323
2001,002524.SZ,20200324,sz002524_20200324
2002,002524.SZ,20200325,sz002524_20200325
2003,002524.SZ,20200326,sz002524_20200326
2004,002524.SZ,20200327,sz002524_20200327
2005,002524.SZ,20200330,sz002524_20200330
2006,002524.SZ,20200331,sz002524_20200331
2007,002524.SZ,20200401,sz002524_20200401
2008,002524.SZ,20200402,sz002524_20200402
2009,002524.SZ,20200403,sz002524_20200403
2010,002524.SZ,20200407,sz002524_20200407
2011,002524.SZ,20200408,sz002524_20200408
2012,002524.SZ,20200409,sz002524_20200409
2013,002524.SZ,20200410,sz002524_20200410
2014,002524.SZ,20200413,sz002524_20200413
2015,002524.SZ,20200414,sz002524_20200414
2016,002675.SZ,20200316,sz002675_20200316
2017,002675.SZ,20200317,sz002675_20200317
2018,002675.SZ,20200318,sz002675_20200318
2019,002675.SZ,20200319,sz002675_20200319
2020,002675.SZ,20200320,sz002675_20200320
2021,002675.SZ,20200323,sz002675_20200323
2022,002675.SZ,20200324,sz002675_20200324
2023,002675.SZ,20200325,sz002675_20200325
2024,002675.SZ,20200326,sz002675_20200326
2025,002675.SZ,20200327,sz002675_20200327
2026,002675.SZ,20200330,sz002675_20200330
2027,002675.SZ,20200331,sz002675_20200331
2028,002675.SZ,20200401,sz002675_20200401
2029,002675.SZ,20200402,sz002675_20200402
2030,002675.SZ,20200403,sz002675_20200403
2031,002675.SZ,20200407,sz002675_20200407
2032,002675.SZ,20200408,sz002675_20200408
2033,002675.SZ,20200409,sz002675_20200409
2034,002675.SZ,20200410,sz002675_20200410
2035,002675.SZ,20200413,sz002675_20200413
2036,002675.SZ,20200414,sz002675_20200414
2037,000596.SZ,20200316,sz000596_20200316
2038,000596.SZ,20200317,sz000596_20200317
2039,000596.SZ,20200318,sz000596_20200318
2040,000596.SZ,20200319,sz000596_20200319
2041,000596.SZ,20200320,sz000596_20200320
2042,000596.SZ,20200323,sz000596_20200323
2043,000596.SZ,20200324,sz000596_20200324
2044,000596.SZ,20200325,sz000596_20200325
2045,000596.SZ,20200326,sz000596_20200326
2046,000596.SZ,20200327,sz000596_20200327
2047,000596.SZ,20200330,sz000596_20200330
2048,000596.SZ,20200331,sz000596_20200331
2049,000596.SZ,20200401,sz000596_20200401
2050,000596.SZ,20200402,sz000596_20200402
2051,000596.SZ,20200403,sz000596_20200403
2052,000596.SZ,20200407,sz000596_20200407
2053,000596.SZ,20200408,sz000596_20200408
2054,000596.SZ,20200409,sz000596_20200409
2055,000596.SZ,20200410,sz000596_20200410
2056,000596.SZ,20200413,sz000596_20200413
2057,000596.SZ,20200414,sz000596_20200414
2058,000651.SZ,20200316,sz000651_20200316
2059,000651.SZ,20200317,sz000651_20200317
2060,000651.SZ,20200318,sz000651_20200318
2061,000651.SZ,20200319,sz000651_20200319
2062,000651.SZ,20200320,sz000651_20200320
2063,000651.SZ,20200323,sz000651_20200323
2064,000651.SZ,20200324,sz000651_20200324
2065,000651.SZ,20200325,sz000651_20200325
2066,000651.SZ,20200326,sz000651_20200326
2067,000651.SZ,20200327,sz000651_20200327
2068,000651.SZ,20200330,sz000651_20200330
2069,000651.SZ,20200331,sz000651_20200331
2070,000651.SZ,20200401,sz000651_20200401
2071,000651.SZ,20200402,sz000651_20200402
2072,000651.SZ,20200403,sz000651_20200403
2073,000651.SZ,20200407,sz000651_20200407
2074,000651.SZ,20200408,sz000651_20200408
2075,000651.SZ,20200409,sz000651_20200409
2076,000651.SZ,20200410,sz000651_20200410
2077,000651.SZ,20200413,sz000651_20200413
2078,000651.SZ,20200414,sz000651_20200414
2079,002123.SZ,20200316,sz002123_20200316
2080,002123.SZ,20200317,sz002123_20200317
2081,002123.SZ,20200318,sz002123_20200318
2082,002123.SZ,20200319,sz002123_20200319
2083,002123.SZ,20200320,sz002123_20200320
2084,002123.SZ,20200323,sz002123_20200323
2085,002123.SZ,20200324,sz002123_20200324
2086,002123.SZ,20200325,sz002123_20200325
2087,002123.SZ,20200326,sz002123_20200326
2088,002123.SZ,20200327,sz002123_20200327
2089,002123.SZ,20200330,sz002123_20200330
2090,002123.SZ,20200331,sz002123_20200331
2091,002123.SZ,20200401,sz002123_20200401
2092,002123.SZ,20200402,sz002123_20200402
2093,002123.SZ,20200403,sz002123_20200403
2094,002123.SZ,20200407,sz002123_20200407
2095,002123.SZ,20200408,sz002123_20200408
2096,002123.SZ,20200409,sz002123_20200409
2097,002123.SZ,20200410,sz002123_20200410
2098,002123.SZ,20200413,sz002123_20200413
2099,002123.SZ,20200414,sz002123_20200414
2100,002552.SZ,20200316,sz002552_20200316
2101,002552.SZ,20200317,sz002552_20200317
2102,002552.SZ,20200318,sz002552_20200318
2103,002552.SZ,20200319,sz002552_20200319
2104,002552.SZ,20200320,sz002552_20200320
2105,002552.SZ,20200323,sz002552_20200323
2106,002552.SZ,20200324,sz002552_20200324
2107,002552.SZ,20200325,sz002552_20200325
2108,002552.SZ,20200326,sz002552_20200326
2109,002552.SZ,20200327,sz002552_20200327
2110,002552.SZ,20200330,sz002552_20200330
2111,002552.SZ,20200331,sz002552_20200331
2112,002552.SZ,20200401,sz002552_20200401
2113,002552.SZ,20200402,sz002552_20200402
2114,002552.SZ,20200403,sz002552_20200403
2115,002552.SZ,20200407,sz002552_20200407
2116,002552.SZ,20200408,sz002552_20200408
2117,002552.SZ,20200409,sz002552_20200409
2118,002552.SZ,20200410,sz002552_20200410
2119,002552.SZ,20200413,sz002552_20200413
2120,002552.SZ,20200414,sz002552_20200414
2121,002557.SZ,20200316,sz002557_20200316
2122,002557.SZ,20200317,sz002557_20200317
2123,002557.SZ,20200318,sz002557_20200318
2124,002557.SZ,20200319,sz002557_20200319
2125,002557.SZ,20200320,sz002557_20200320
2126,002557.SZ,20200323,sz002557_20200323
2127,002557.SZ,20200324,sz002557_20200324
2128,002557.SZ,20200325,sz002557_20200325
2129,002557.SZ,20200326,sz002557_20200326
2130,002557.SZ,20200327,sz002557_20200327
2131,002557.SZ,20200330,sz002557_20200330
2132,002557.SZ,20200331,sz002557_20200331
2133,002557.SZ,20200401,sz002557_20200401
2134,002557.SZ,20200402,sz002557_20200402
2135,002557.SZ,20200403,sz002557_20200403
2136,002557.SZ,20200407,sz002557_20200407
2137,002557.SZ,20200408,sz002557_20200408
2138,002557.SZ,20200409,sz002557_20200409
2139,002557.SZ,20200410,sz002557_20200410
2140,002557.SZ,20200413,sz002557_20200413
2141,002557.SZ,20200414,sz002557_20200414
2142,603517.SH,20200316,sh603517_20200316
2143,603517.SH,20200317,sh603517_20200317
2144,603517.SH,20200318,sh603517_20200318
2145,603517.SH,20200319,sh603517_20200319
2146,603517.SH,20200320,sh603517_20200320
2147,603517.SH,20200323,sh603517_20200323
2148,603517.SH,20200324,sh603517_20200324
2149,603517.SH,20200325,sh603517_20200325
2150,603517.SH,20200326,sh603517_20200326
2151,603517.SH,20200327,sh603517_20200327
2152,603517.SH,20200330,sh603517_20200330
2153,603517.SH,20200331,sh603517_20200331
2154,603517.SH,20200401,sh603517_20200401
2155,603517.SH,20200402,sh603517_20200402
